School,Zip Code,Grades,Local District,Board District,complete_address,lat,long,arrest_0.5_mile,arrest_1_mile
Los Feliz Science/Tech/Engineer/Math/Medicine Magnet,90027,K- 6,C,5-Vacant,1740 N New Hampshire Ave Los Angeles CA 90027,34.1028081,-118.29299540000001,3,38
Lorne Street Elementary,91325,K- 5,NW,6-Kelly Gonez,17440 Lorne St Northridge CA 91325,34.2167126,-118.5131314,1,5
Alta Loma Elementary,90019,K- 5,W,1-Dr George J McKenna III,1745 Vineyard Ave Los Angeles CA 90019,34.043014,-118.33968600000001,17,32
TEACH Prep Cunningham & Morris Elem,90047,K- 1,XR,1-Dr George J McKenna III,1750 W Century Blvd Los Angeles CA 90047,33.945257,-118.308146,1,6
Eagle Rock High School,90041,7-12,C,5-Vacant,1750 Yosemite Dr Los Angeles CA 90041,34.1317787,-118.2063795,0,11
Lemay Street Elementary,91406,K- 5,NW,3-Scott M Schmerelson,17520 Vanowen St Lake Balboa CA 91406,34.192639,-118.5150665,0,9
Academy for Enriched Sciences Elementary Magnet,91316,K- 5,NW,3-Scott M Schmerelson,17551 Miranda St Encino CA 91316,34.174781599999996,-118.51499950000002,2,12
Birdielee V Bright Elementary,90018,K- 5,W,1-Dr George J McKenna III,1771 W 36th St Los Angeles CA 90018,34.023143700000006,-118.31109520000001,8,37
Emelita Street Elementary,91316,K- 5,NW,3-Scott M Schmerelson,17931 Hatteras St Encino CA 91316,34.1765217,-118.5238054,1,24
Cantara Street Elementary,91335,K- 5,NW,6-Kelly Gonez,17950 Cantara St Reseda CA 91335,34.218428,-118.525236,1,8
Moneta Continuation High,90248,9-12,S,7-Dr Richard A Vladovic,17951 S Budlong Ave Gardena CA 90248,33.86741,-118.2949865,5,6
Northridge Middle Medical Health Careers Magnet,91325,6- 8,NW,3-Scott M Schmerelson,17960 Chase St Northridge CA 91325,34.2237928,-118.5251695,1,3
Garden Grove Elementary,91335,K- 5,NW,6-Kelly Gonez,18141 Valerio St Reseda CA 91335,34.205442,-118.52843600000001,4,19
Zane Grey Continuation High,91335,9-12,NW,6-Kelly Gonez,18230 Kittridge St Reseda CA 91335,34.1884315,-118.5288733,6,34
Taper Avenue Elementary STEAM Magnet,90731,K- 5,S,7-Dr Richard A Vladovic,1824 Taper Ave San Pedro CA 90731,33.76254,-118.29839299999999,0,7
Magnolia Science Academy #7,91325,K- 5,XR,3-Scott M Schmerelson,18355 Roscoe Blvd Northridge CA 91325,34.2211656,-118.5335916,2,7
Manhattan Place Elementary,90047,K- 5,W,1-Dr George J McKenna III,1850 W 96th St Los Angeles CA 90047,33.9484547,-118.3107152,2,4
PUC Excel Academy,90031,6- 8,XR,2-Monica Garcia,1855 N Main St Los Angeles CA 90031,34.066599200000006,-118.21985900000001,4,17
Sherman Oaks Center for Enriched Studies (SOCES) Magnet,91335,4-12,NW,3-Scott M Schmerelson,18605 Erwin St Reseda CA 91335,34.1841724,-118.5384563,20,39
Gaspar de Portola MS - Academy of Integrated Arts & Tech,91356,6- 8,NW,4-Nick Melvoin,18720 Linnet St Tarzana CA 91356,34.167244200000006,-118.54208799999999,5,18
Calahan Street Elementary,91324,K- 5,NW,3-Scott M Schmerelson,18722 Knapp St Northridge CA 91324,34.237967700000006,-118.5417004,3,5
Blythe Street Elementary,91335,K- 5,NW,3-Scott M Schmerelson,18730 Blythe St Reseda CA 91335,34.2145059,-118.54171129999999,5,14
John R Wooden High School,91335,9-12,NW,3-Scott M Schmerelson,18741 Elkwood St Reseda CA 91335,34.2130073,-118.54199109999999,4,14
Towne Avenue Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,18924 Towne Ave Carson CA 90746,33.8583275,-118.2674172,0,1
Castlebay Lane Charter,91326,K- 5,NW,3-Scott M Schmerelson,19010 Castlebay Ln Porter Ranch CA 91326,34.293679100000006,-118.5475148,1,1
Napa Street Elementary,91324,K- 5,NW,3-Scott M Schmerelson,19010 Napa St Northridge CA 91324,34.22552039999999,-118.54751170000002,0,7
Vanalden Avenue Elementary,91335,K- 5,NW,3-Scott M Schmerelson,19019 Delano St Reseda CA 91335,34.18272329999999,-118.546977,6,34
Diane S Leichman Career Preparatory and Transition Center,91335,9-12,NW,3-Scott M Schmerelson,19034 Gault St Reseda CA 91335,34.198383,-118.54833400000001,5,33
Gridley Street Elementary,91340,K- 5,NE,6-Kelly Gonez,1907 8th St San Fernando CA 91340,34.30259650000001,-118.42912340000002,3,14
Franklin Avenue Elementary,90027,K- 5,C,5-Vacant,1910 N Commonwealth Ave Los Angeles CA 90027,34.1059365,-118.28495690000001,3,8
Beckford Charter for Enriched Studies,91326,K- 5,NW,3-Scott M Schmerelson,19130 Tulsa St Northridge CA 91326,34.2677318,-118.5488772,0,8
New Los Angeles Charter School,90016,6- 8,XR,1-Dr George J McKenna III,1919 S Burnside Ave Los Angeles CA 90016,34.0405831,-118.35802050000001,6,30
Santee Education Complex,90011,9-12,C,2-Monica Garcia,1921 S Maple Ave Los Angeles CA 90011,34.0290276,-118.2628492,26,80
Frida Kahlo Continuation High,90011,9-12,C,2-Monica Garcia,1924 S Los Angeles St Los Angeles CA 90011,34.0298149,-118.26378570000001,26,80
Sophia T Salvin Special Education Center,90007,K- 8,C,2-Monica Garcia,1925 Budlong Ave Los Angeles CA 90007,34.0379421,-118.2967404,12,94
University Preparatory Value High,90006,9- 9,XR,2-Monica Garcia,1929 W Pico Blvd Los Angeles CA 90006,34.046741100000006,-118.2808919,20,98
Leapwood Elementary,90746,K- 5,S,7-Dr Richard A Vladovic,19302 Leapwood Ave Carson CA 90746,33.8561726,-118.26157020000001,0,0
Grape Street Elementary,90059,K- 5,S,7-Dr Richard A Vladovic,1940 E 111th St Los Angeles CA 90059,33.9340901,-118.23795179999999,31,73
Annalee Avenue Elementary,90746,K- 6,S,7-Dr Richard A Vladovic,19410 S Annalee Ave Carson CA 90746,33.8541809,-118.25186200000002,0,0
2nd Street Elementary,90033,K- 6,E,2-Monica Garcia,1942 E 2nd St Los Angeles CA 90033,34.0448464,-118.21670619999999,9,28
