Arrest Date,Time,Area Name,Age,Sex Code,Descent Code,Arrest Type Code,Charge Description,lat,long,disp_0.5_mile,disp_1_mile,school_0.5_mile,school_1_mile
2017-11-07,2240.0,Van Nuys,44,M,B,M,sell/furnish/etc marij/hash over 1 oz,34.1827,-118.4465,0,1,2,8
2017-11-07,1930.0,Hollywood,36,F,W,F,transport/sell/furnish/etc marijuana,34.0934,-118.3332,0,4,2,7
2017-11-07,1505.0,Van Nuys,26,M,W,M,give/transport/etc < 28.5 grams marijuana,34.1781,-118.4179,0,0,2,4
2017-11-07,1600.0,Van Nuys,21,F,H,M,give/transport/etc < 28.5 grams marijuana,34.1781,-118.4179,0,0,2,4
2017-11-07,1600.0,Van Nuys,18,M,H,M,give/transport/etc < 28.5 grams marijuana,34.1822,-118.4181,0,0,4,7
2017-11-14,1355.0,Central,31,F,B,M,possess 28.5 grams or less of marijuana**,34.045,-118.264,5,16,2,16
2017-11-14,2130.0,Southeast,25,M,B,F,possession marijuana for sale,33.9493,-118.263,0,0,4,13
2017-11-14,920.0,Central,29,M,B,F,transport/sell/furnish/etc marijuana,34.0515,-118.2424,2,7,0,7
2017-11-14,1335.0,Central,32,M,H,F,transport/sell/furnish/etc marijuana,34.045,-118.2628,6,16,2,15
2017-11-15,1105.0,Van Nuys,58,M,H,M,give/transport/etc < 28.5 grams marijuana,34.1976,-118.4574,0,0,2,11
2017-11-15,1400.0,Van Nuys,46,M,B,F,attempt - sell/furnish/etc marijuana,34.1566,-118.4487,0,4,0,4
2017-11-17,1200.0,Harbor,43,M,H,F,transport/sell/furnish/etc marijuana,33.7947,-118.2975,0,0,2,6
2017-11-18,530.0,Harbor,22,M,B,F,possession marijuana for sale,33.7749,-118.2764,0,0,1,4
2017-11-19,1800.0,Foothill,20,M,H,M,give/transport/etc < 28.5 grams marijuana,34.2631,-118.4189,0,0,0,6
2017-11-19,1955.0,Pacific,35,M,B,M,sale/offer to sell/transport marijuana,33.943,-118.4035,0,0,0,0
2017-11-20,15.0,Pacific,50,M,H,M,sale/offer to sell/transport marijuana,33.944,-118.4073,0,1,0,0
2017-11-20,955.0,Hollenbeck,17,M,H,M,poss of more than 28.5 grams of marijuana,34.0517,-118.2178,0,0,3,8
2017-11-21,2115.0,Topanga,72,F,W,F,unlawfully plant/cultivate/etc marijuana,34.1792,-118.619,0,0,0,2
2017-11-21,2125.0,Topanga,31,F,W,F,unlawfully plant/cultivate/etc marijuana,34.1792,-118.619,0,0,0,2
